"Kategori","Sub Kategori","Nama Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal  Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000004","1101001135000000000000020191320201020030000004","INNOVA REBORN 2.4 V 2019","Minibus, Warna Hitam Metalik, 2.393 CC, Solar","","Merk: Toyota New Kijang Innova 2,4 V M/T Diesel Vin 2019 ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kota Baru Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1094 AS","MHFGB8EM3K0430521","2GDC581905","P-05430997","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","04/BAST.K/I/2023 Tanggal 30-1-2023","Dedi Fahrian, ST, MT","P2IK","BL 1094 AS'!A1"," 15-10-2024"," 15-10-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000005","1101001135000000000000020191320201020030000005","INNOVA REBORN 2.4 V 2019","Minibus, Warna Hitam Metalik, 2.393 CC, Solar","","Merk: Toyota Kijang Innova 2.4 V M/T (GUN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1095 AS","MHFGB8EM5K0430567","2GDC589533","P-05430998","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","03/BAST.K/I/2023 Tanggal 30-1-2023","Reza Ferdian, SSTP, M.Si","P2ESDA","BL 1095 AS'!A1"," 15-10-2024"," 15-10-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000006","1101001135000000000000020191320201020030000006","INNOVA REBORN 2.4 V 2019","Minibus, Warna Putih, 2.393 CC, Solar","","Merk: Toyota Kijang Innova 2.4 V M/T (GUN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1094 AO","MHFGB8EM5K0432593","2GDC581905","P-05478822","1.00","unit","","387,000,000.00","387,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","05/BAST.K/I/2023 Tanggal 30-1-2023","Setiawaty, SKM, MPH","P2KPSDM",""," 27-2-2025"," 27-2-2025",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000007","1101001135000000000000020191320201020030000007","INNOVA Venturer 2019","Minibus, Warna Hitam Metalik, 1.998 CC, Premium","","Merk: Toyota Kijang Innova 2,0 G A/T (TGN14) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1099 AS","MHFAW8EM1K0213219","1TRA633548","P-05430996","1.00","unit","","419,000,000.00","419,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 1099 AS'!A1"," 15-10-2024"," 15-10-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000008","1101001135000000000000020191320201020030000008","Hilux Double Cabin 2,4 G 2019","Double Cabin, Warna Hitam Metalik, 2.393 CC, Solar","","Merk: Toyota New Hilux Double Cabin 2,4 G (4x4) M/T Diesel Vin ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 8016 JA","MROKB8CD3K1209957","2GD0755060","P-05492430","1.00","unit","","424,000,000.00","424,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool",""," 27-2-2025"," 27-2-2025",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000009","1101001135000000000000020191320201020030000009","HIACE 2019","Microbus, Warna Silver Metalik, 2.494 CC, Solar","","Merk: Toyota HI ACE Commuter M/T (KDH222R) ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 7030 AD","JTFSS22P2K0186837","2KDB008785","P-05431034","1.00","unit","","471,000,000.00","471,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 7030 AD'!A1"," 15-10-2024"," 15-10-2024",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020191320201020030000010","1101001135000000000000020191320201020030000010","Fortuner 2.4 VRZ 2019","Jeep, Warna Hitam Metalik, 2.393 CC, Solar","","Merk: Toyota Fortuner 2.4 VRZ 4x4 A/T ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 30","MHFHB3FSXK0036406","2GDC662883","P-05478821","1.00","unit","","654,000,000.00","654,000,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Kendaraan Bermotor Roda 4","","01/BAST.K/I/2023 Tanggal 30-1-2023","DR. H.T. Ahmad Dadek, SH, MH","TU Pimpinan",""," 27-2-2025"," 27-2-2028",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Penumpang","Mini Bus ( Penumpang 14 Orang Kebawah )","1101001135000000000000020221320201020030000001","1101001135000000000000020221320201020030000001","Pajero Sport 2,4 L 2022","Jeep, Warna Hitam Mika, 2.442 CC, Solar","","Merk: Mitsubishi Pajero Sport 2,4 L Dakkar - L (4x2) 8 A/T Vin 2022 ","Jln. Tgk. Mohd. Daud Beureueh No. 26   Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 1054 AM","MK2KRWPNUNJ011029","4N15UJJ8880","T00647288","1.00","unit","","614,000,000.00","614,000,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Minibus (Penumpang 14 orang kebawah)","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool",""," 30-9-2024"," 30-9-2027",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Angkutan Barang","Pick Up","1101001135000000000000020061320201030020000001","1101001135000000000000020061320201030020000001","Kijang Pick Up 2006","Pick Up Warna Hitam, 1781 cc","","Merk: TOYOTA / Kijang Standard KF 60 ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 8055 AF","MHF31KF6060053544","7K0860487","6017467-A","1.00","unit","","97,900,000.00","97,900,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","BKRA","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 8055 AF'!A1"," 31-5-2025"," 31-5-2028",""
"Alat Angkutan Darat Bermotor","Kendaraan Bermotor Angkutan Barang","Pick Up","1101001135000000000000020121320201030020000001","1101001135000000000000020121320201030020000001","Double Cabin Hilux 2012","Double Cabin Warna Hitam Metalik, 2.494 cc","","Merk: Toyota/ HiLux 2.5 G DC (4x4) M/T Diesel (Double Cabin) ","Jln. Tgk. Mohd. Daud Beureueh No. 26  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","BL 8062 AN","MROFR22G5C0616952","2KDS079946","00000831","1.00","unit","","410,750,000.00","410,750,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Pemindahana catatan dari DPKA","","09/BAST.K/I/2023 Tanggal 30 -1-2023","Pool","Pool","BL 8062 AN'!A1"," 14-5-2025"," 14-5-2028",""
