"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Studio","Peralatan Studio Audio","Camera Digital","110111003500000000000020231320601011020000002","110111003500000000000020231320601011020000002","Kamera","5184x3888 3.2 sentuh f/2.8 hingga f/22 Pelindung Sirkuit Pemotretan dan Kelebihan beban","","Merk: Panasonic  Lumix DC -GH5 Kit Panasonic Lumix G X Vario 35-100mm f/2.8 II Power O.I.S Tipe: Lumix DC -GH5 Kit Panasonic Lumix G X Vario 35-100mm f/2.8 II Power O.I.S","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","47,345,000.00","47,345,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal  25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
"Alat Studio","Peralatan Studio Audio","Camera Digital","110111003500000000000020231320601011020000003","110111003500000000000020231320601011020000003","Camera Digital","Pack 1020 mAh BIONZ X image Processor XGA 2.36M-Dot Aperture Range f/2.8 to f/22 Internal Focus AF/MF Switch","","Merk: SONY Tipe: SONY A7II KIT SONY FE 24-70mm F2.8 GM","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","47,350,000.00","47,350,000.00","Pengadaan APBD","12/11/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Video Monitor","1101001135000000000000020131320601020120000001","1101001135000000000000020131320601020120000001","Video Monitor","    ","","Merk: Avtech / IR 8 CH - CCTV ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","6,900,000.00","6,900,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Video Monitor","1101001135000000000000020131320601020120000002","1101001135000000000000020131320601020120000002","Video Monitor","    ","","Merk: Avtech / IR 8 CH - CCTV ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","6,900,000.00","6,900,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","PADA P2K","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Video Monitor","1101001135000000000000020221320601020120000001","1101001135000000000000020221320601020120000001","Video Monitor","    ","","Merk: Digital Signage Interactive Display (Samsung Interactive Flat Panel 85 inchi ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","154,400,000.00","154,400,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Video Monitor","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020201320601020450000001","1101001135000000000000020201320601020450000001","Tripod Camera","    ","","Merk: Gimbal Kamera Digital/Action Cam (Zhiyun Crane Plus) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,470,000.00","8,470,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020201320601020450000002","1101001135000000000000020201320601020450000002","Tripod Camera","    ","","Merk: Gimbal Kamera Digital/Action Cam (Zhiyun Crane Plus) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","8,470,000.00","8,470,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020201320601020450000003","1101001135000000000000020201320601020450000003","Tripod Camera","    ","","Merk: Gimbal Stabillizer (Zhiyun Crane 3) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","12,100,000.00","12,100,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020211320601020450000001","1101001135000000000000020211320601020450000001","Tripod Camera","    ","","Merk: Takara Rover 77 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,768,000.00","1,768,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020211320601020450000002","1101001135000000000000020211320601020450000002","Tripod Camera","    ","","Merk: Takara Rover 77 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,768,000.00","1,768,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020211320601020450000003","1101001135000000000000020211320601020450000003","Tripod Camera","    ","","Merk: Takara Rover 77 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,768,000.00","1,768,000.00","Pengadaan APBD","12/31/2021","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020221320601020450000001","1101001135000000000000020221320601020450000001","Tripod Camera","    ","","Merk: Tripod Camera ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,327,000.00","2,327,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Tripod Camera","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","1101001135000000000000020221320601020450000002","1101001135000000000000020221320601020450000002","Tripod Camera","    ","","Merk: Tripod Gimbal Stabilizer for DSLRN ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","7,000,000.00","7,000,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Tripod Camera","","","","","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","110111003500000000000020231320601020450000001","110111003500000000000020231320601020450000001","Light Stand","840 mm 730 mm 1600g 3000g ","","Merk: VISICO lighstand air-cushion LS-8008CK  Tipe: lighstand air-cushion LS-8008CK ","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","295,000.00","295,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal 25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","110111003500000000000020231320601020450000002","110111003500000000000020231320601020450000002","Light Stand","840 mm 730 mm 1600g 3000g ","","Merk: VISICO lighstand air-cushion LS-8008CK  Tipe: lighstand air-cushion LS-8008CK ","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","295,000.00","295,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal 25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","110111003500000000000020231320601020450000003","110111003500000000000020231320601020450000003","Light Stand","840 mm 730 mm 1600g 3000g ","","Merk: VISICO lighstand air-cushion LS-8008CK  Tipe: lighstand air-cushion LS-8008CK ","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","295,000.00","295,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal 25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","110111003500000000000020231320601020450000004","110111003500000000000020231320601020450000004","Light Stand","840 mm 730 mm 1600g 3000g ","","Merk: VISICO lighstand air-cushion LS-8008CK  Tipe: lighstand air-cushion LS-8008CK ","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","295,000.00","295,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal 25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
"Alat Studio","Peralatan Studio Video dan Film","Tripod Camera","110111003500000000000020231320601020450000005","110111003500000000000020231320601020450000005","Light Stand","840 mm 730 mm 1600g 3000g ","","Merk: VISICO lighstand air-cushion LS-8008CK  Tipe: lighstand air-cushion LS-8008CK ","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","295,000.00","295,000.00","Pengadaan APBD","8/21/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","89/BAST/X/2023 Tanggal 25-10-2023","Chandra Irani, SP, MM","Humas","","","",""
